Allocator,Benchmark,AllocTime_us,FreeTime_us,AllocOps,FreeOps,AllocOpsPerSec,FreeOpsPerSec,PeakUtilization
SegregatedFreeList,Sequential,880.00,44.00,10000,10000,11363636.36,227272727.27,0.061037
SegregatedFreeList,Random,1649.00,26.00,2000,2000,1212856.28,76923076.92,0.198117
SegregatedFreeList,Mixed,3.00,5.00,750,750,250000000.00,150000000.00,0.003815
SegregatedFreeList,Stress,1611.00,52.00,10000,10000,6207324.64,192307692.31,0.244146
